COUNTRY,MA_ID,NAME,LON,LAT,DESIG,LEGAL,DESIG_TYPE,DOMAIN,STATUS,DATE_ESTAB,AREA_R_HA,MARIE_R_H,MGT_PLAN,IUCN_CAT,INTL_CONV,STATE_PROV,ZONES,NO_TAKE,NO_TK_R_HA,MGT_MODEL,MGT_EFF,SOURCE,NOTES,CONSENT,CTMPAS_CAT,VALIDATED,VALIDATED_BY,VALIDATED_ON,HAS_POLY
"Indonesia","1015947","Kawasan Konservasi Kolepom Di Provinsi Papua Selatan","137.80402760","-7.96639380","Province Marine Protected Area","KEPMENKP NOMOR 5 TAHUN 2023","Local","Marine","Designated","2023-01-05",356337.90,356337.90,"Yes","Unknown","","Papua Selatan","Yes","Part",35458.27,"EVIKA","Strengthened","ATSEA & MMAF","","Yes","Category 2","False","","","True"
"Indonesia","1015946","Bangka Tengah Marine Protected Area","105.81069946","-2.41517801","Province Marine Protected Area","Kep Bupati Bangka Tengah Nomor : 188.45/268/DKP/2007","Provincial","Marine","Designated","2007-01-01",0.00,0.00,"Unknown","","","","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015945","Teluk Cendrawasih Marine National Park","134.41772461","-1.81463742","National Marine Protected Area","SK. Menhut Nomor 8009/Kpts-II/2002","National","Marine","Designated","2002-01-01",1453500.00,1453500.00,"Yes","","","","Yes","",,"","","","","Yes","Category 1","False","","","False"
"Indonesia","1015944","Kepulauan Fam Raja Ampat Marine Protected Area","130.24703979","-0.61961676","Province Marine Protected Area","KEPGUB PABAR 523/195/10/2017 tanggal 25 Oktober 2017","Provincial","Marine","Designated","2017-10-25",360000.00,360000.00,"Drafted","","","Papua Barat","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015943","Teluk Berau dan Teluk Nusalasi Marine Protected Area ","132.17102051","-2.54359741","Province Marine Protected Area","KEPGUB PABAR 523/136/7/2017 Tanggal 25 Juli 2017","Provincial","Marine","Designated","2017-06-25",350000.00,350000.00,"Yes","","","Papua Barat","","",,"EKKP3K","Established","","","Yes","Category 1","False","","","False"
"Indonesia","1015942","Kepulauan Sula Marine Protected Area","126.06811523","-1.99032171","Province Marine Protected Area","KEPGUB MALUT 360/KPTS/MU/2018","Provincial","Marine","Designated","2018-12-27",117959.88,117959.88,"Drafted","","","Maluku Utara","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015941","Pulau Makian Marine Protected Area","127.47711182","0.32079924","Province Marine Protected Area","KEPGUB MALUT 359/KPTS/MU/2018","Provincial","Marine","Unknown","2018-12-27",42799.00,42799.00,"No","","","North Maluku","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015940","Pulau Ay-Pulau Rhun Banda Marine Protected Area","129.71076965","-4.56903278","Marine Protected Area","KEPGUB MALUKU Nomor 388 Tahun 2016","Provincial","Marine","Designated","2016-11-23",47968.74,47968.74,"Drafted","","","Maluku","","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015939","Kepulauan Lease Marine Protected Area","128.47686768","-3.67021675","Province Marine Protected Area","KEPGUB MALUKU Nomor 387 Tahun 2016 tanggal 23 November 2016","Provincial","Marine","Designated","2016-11-23",81573.48,81573.48,"Drafted","","","Maluku","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015938","Pulau Baeer Marine Protected Area","132.69561768","-5.34586429","Province Marine Protected Area","KEPGUB Maluku Nomor 386 Tahun 2016 tanggal 23 November 2016","Provincial","Marine","Designated","2016-11-23",82.00,82.00,"Unknown","","","Maluku","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015937","Mamuju Marine Protected Area","118.83087158","-2.52932948","Province Marine Protected Area","KEPGUB SULBAR 188.4/526/Sulbar/IX/2016 6 September 2016","Provincial","Marine","Designated","2016-09-06",67000.00,67000.00,"Unknown","","","West Sulawesi","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015936","Teluk Bone Bagian Selatan Marine Protected Area","120.79467773","-4.14043408","Province Marine Protected Area","KEPGUB SULSEL Nomor 2943/XI/2018 tanggal 8 November 2018","Provincial","Marine","Designated","2018-11-08",423924.00,423924.00,"Unknown","","","","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015935","Pulo Kauna Kayuadi Marine Protected Area","120.44860840","-6.70388924","Province Marine Protected Area","KEPGUB SULSEL 3173/XII/2018 ","Provincial","Marine","Designated","2018-12-12",3983.00,3983.00,"Unknown","","","South Sulawesi","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015934","Liukang Tangaya Marine Protected Area","118.83499146","-6.98259009","Province Marine Protected Area","KEPGUB SULSEL 3172/XII/2018 ","Provincial","Marine","Designated","2018-12-12",500797.77,500797.77,"Unknown","Unknown","","South Sulawesi","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015933","Buton Selatan Marine Protected Area","122.32040405","-5.42625734","Province Marine Protected Area","KEPBUP Buton Selatan No. 143.A tanggal 29 Maret 2016","Provincial","Marine","Designated","2016-03-29",35698.73,35698.73,"Unknown","","","South East Sulwesi","","",,"EKKP3K","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015932","Muna Marine Protected Area","122.76535034","-4.73638712","Province Marine Protected Area","KEPBUP Muna No. 508 Tahun 2014","Provincial","Marine","Designated","2014-09-01",76417.16,76417.16,"No","","","South East Sulwesi ","Unknown","",,"EKKP3K","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015931","Botuberani Marine Protected Area","123.09854507","0.46636449","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",35.00,35.00,"Unknown","","","Gorontalo","","",,"EKKP3K","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015930","Sumalata Marine Protected Area","122.42340088","1.08977817","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Unknown","2019-01-01",14307.93,14307.93,"No","","","Gorontalo","Unknown","",,"EKKP3K","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015929","Mabasar maruangi Marine Protected Area","123.10249329","0.45235739","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",1164.01,1164.01,"Unknown","Unknown","","Gorontalo","Unknown","",,"EKKP3K","Unrated","","","Yes","Category 1","False","","","False"
"Indonesia","1015928","Bilihu Timur Marine Protected Area","122.94662476","0.46801244","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",107.75,107.75,"Unknown","Unknown","","Gorontalo","Unknown","Part",,"EKKP3K","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015927","Dulangka Marine Conservation","121.43909454","0.40676540","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",3418.52,0.00,"No","","","Gorontalo","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 1","False","","","False"
"Indonesia","1015926","Tanjung Panjang Marine Conservation Area","121.73675537","0.45263214","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",2952.47,0.00,"Unknown","","","Gorontalo","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 1","False","","","False"
"Indonesia","1015925","Maruagi Mabasar Marine Protected Area","121.62277222","0.50097025","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-01-01",6866.17,0.00,"No","","","Gorontalo","Yes","",,"EKKP3K","Established","","","Yes","Category 1","False","","","False"
"Indonesia","1015924","Tolinggula","122.70835876","0.92473405","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-11-11",2097.00,0.00,"No","","","Gorontalo","No","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015923","Pulau Mohinggito Marine Protected Area","122.82440186","0.92500878","Province Marine Protected Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2019-11-12",469.11,0.00,"No","","","Gorontalo","No","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015922","Tatoareng Marine Protected Area","125.41442871","3.76998207","Province Marine Protected Area","KEPGUB SULUT Nomor 170 tanggal 12 April 2017  ","Provincial","Marine","Designated","2017-04-12",167398.00,0.00,"Yes","","","Sulawesi Utara","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","False"
"Indonesia","1015920","Minahasa Marine Conservation","124.30480957","1.20181643","Province Marine Protected Area","KEPBUP Minahasa Nomor 762 Tahun 2013 tanggal 5 Desember 2013","Provincial","Marine","Designated","2013-12-05",0.00,0.00,"No","","","","","",,"","","","","Yes","Category 1","False","","","False"
"Indonesia","1015919","Kepulauan Sitaro Marine Conservation Area","125.32379150","2.12207340","Province Marine Protected Area","KEPGUB SULUT Nomor 407 Tahun 2018 tanggal 15 Oktober 2018","Provincial","Marine","Designated","2018-10-15",44110.11,0.00,"No","","","Sulawesi Utara","No","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015918","Senggora Marine Conservation Area","115.86456299","-3.97166886","Province Marine Protected Area","KEPMENKP No.24/KEPMEN-KP/2019","Provincial","Marine","Designated","2019-01-01",61362.24,0.00,"Yes","","","Kalimantan Tengah","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","False"
"Indonesia","1015917","Kendawangan Ketapang Marine Protected Area","110.06652832","-2.91670792","Province Marine Protected Area","KEPGUB KALBAR Nomor 193/DKP/2017 tanggal 21 Februari 2017 ","Provincial","Marine","Designated","2017-02-21",188458.29,0.00,"No","","","Kalimantan Barat","No","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015916","Kubu Raya Marine Protected Area","108.97338867","-0.29882623","Province Marine Protected Area","KEPGUB KALBAR Nomor 193/DKP/2017 tanggal 21 Februari 2017 ","Provincial","Marine","Designated","2017-02-21",301845.94,0.00,"No","","","Kalimantan Barat","","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015915","Sambas Marine Protected Area","109.37438965","2.02545718","Province Marine Protected Area","KEPGUB KALBAR Nomor 193/DKP/2017 tanggal 21 Februari 2017 ","Provincial","Marine","Designated","2017-02-21",105252.79,0.00,"No","","","Kalimantan Barat","No","",,"EKKP3K","Institutionalized","","","Yes","Category 1","False","","","False"
"Indonesia","1015914","Pulau Lipan and Pulau Rakit Marine Reserve","117.78442383","-8.55060210","Province Marine Protected Area","SK NTB Nomor 523 - 640 Tahun 2018","Provincial","Marine","Designated","2018-08-03",26640.76,0.00,"Yes","","","Nusa Tenggara Barat","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","True"
"Indonesia","1015912","Teluk Bumbang Marine Conservation","116.40495300","-8.93879747","Province Marine Protected Area","KEPGUB NTB Nomor 523 - 640 Tahun 2018 tanggal 3 Agustus 2018","Provincial","Marine","Designated","2018-08-03",6310.00,6310.00,"Yes","","","Nusa Tenggara Barat","Yes","",,"EKKP3K","","","","Yes","Category 2","False","","","False"
"Indonesia","1015911","Kawasan Konservasi Karangasem","115.63696090","-8.39983992","Province Marine Protected Area","KEPMEN KP NOMOR 123 TAHUN 2023","Provincial","Marine","Designated","2023-01-12",5478.41,5478.41,"Yes","Unknown","","Bali","Yes","Part",,"EVIKA","Strengthened","","","Yes","Category 2","False","IDNMPA","","True"
"Indonesia","1015910","Banyuwangi Marine Conservation Park","114.39926147","-8.14515521","Province Marine Protected Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Provincial","Marine","Designated","2018-10-10",111.10,111.10,"Yes","","","Jawa Timur","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","False"
"Indonesia","1015909","Tulungagung Marine Conservation","112.99163818","-8.42129652","Province Marine Protected Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Provincial","Marine","Designated","2018-10-10",217.00,217.00,"Yes","","","Jawa Timur","","",,"EKKP3K","Strengthened","","","Yes","Category 1","False","","","False"
"Indonesia","1015908","Gili Ketapang Marine Small Island Conservation ","113.25187683","-7.67778502","Province Marine Protected Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Provincial","Marine","Designated","2018-10-10",347.07,347.07,"Yes","","","","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","False"
"Indonesia","1015907","Kawasan Konservasi Maritim Hmas Perth Di Perairan Provinsi Banten","106.12547420","-5.85940583","Province Marine Protected Area","KEPMEN KP NOMOR 21/KEPMEN-KP/2018","Provincial","Marine","Designated","2023-01-12",99.94,99.94,"Yes","Unknown","No","Banten","Yes","Part",,"EVIKA","Strengthened","MMAF","","Yes","Category 2","False","IDNMPA","","True"
"Indonesia","1015906","Pulau Batang Segama Marine Conservation","106.29574500","-5.07979700","Provinve Marine Protected Area","KEPGUB LAMPUNG G/585/III.17.HK/2015","Provincial","Marine","Designated","2015-01-01",14569.30,0.00,"No","","","Lampung","","",,"EKKP3K","Unrated","","","Yes","Category 1","False","","","False"
"Indonesia","1015903","Tuing Marine Conservation Area","105.92468262","-1.47859535","Province Marine Conservation Area","KEPGUB Kep. Bangka Belitung Nomor 188.44/739/DKP/2018 tanggal 27 September 2018","Provincial","Marine","Designated","2018-09-27",9809.56,0.00,"Drafted","","","Kepulauan Bangka Belitung","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015902","Kepulauan Aruah Marine Conservation","100.60359800","2.84888500","Province Marine Conservation Area","KEPGUB RIAU Kpts.863/XI/2017 tanggal 6 November 2017 ","Provincial","Marine","Designated","2017-11-06",23481.32,0.00,"Unknown","","","Riau","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015901","Indragiri Hilir Marine Conservation ","103.87573242","0.16259797","Province Marine Conservation Area","KEPGUB RIAU Kpts.863/XI/2017 tanggal 6 November 2017 ","Provincial","Marine","Designated","2017-11-06",205595.64,0.00,"Unknown","","","Riau","","",,"EKKP3K","Established","","","Yes","Category 1","False","","","False"
"Indonesia","1000195","KKP-23 Aceh Tamiang","98.17999221","4.50215064","Province Marine Protected Area","PERDA PROVINSI ACEH NOMOR 1 TAHUN 2020","Provincial","Marine","Proposed","2020-12-12",119.25,119.25,"No","Unknown","No","Aceh","No","",,"EVIKA","Unrated","MMAF","","Yes","Category 1","True","idnmpa","","True"
"Indonesia","1000194","Aceh Selatan","96.98480000","2.21010000","Local","Governor Decree of Aceh Number 523/1297/2018 tanggal 26 November 2018","Provincial","Marine","Designated","2018-11-26",3590.34,3590.34,"Drafted","","CBD, Aichi Target, SDG 14","DIY Aceh","","",,"EKKP3K","Established","Ministry Marine affairs and Fisheries","","Yes","Category 1","False","idnmpa","","False"
"Indonesia","1000193","Aceh Barat Daya","96.72520000","3.67710000","Local","Governor Decree of Aceh Number 523/1297/2018 dates 26 November 2018","Provincial","Marine","Designated","2018-11-26",16017.34,16017.34,"Drafted","","CBD, Aichi Target, SDG 14","DIY Aceh","No","Unknown",,"EKKP3K","Established","Ministry Marine affairs and Fisheries","","Yes","Category 1","False","","","False"
"Indonesia","1000192","Rupat Utara","101.50440000","2.08450000","Local ","Governor decree Kpts.565/II/2019 tanggal 15 Februari 2019","Provincial","Marine","Designated","2019-02-15",15547.00,15547.00,"No","","CBD, Aichi Target, SDG 14","Riau","No","",,"EKKP3K","Established","Ministry Marine affairs and Fisheries","","Yes","Category 1","False","idnmpa","","False"
"Indonesia","1015900","Maluku Tenggara Barat Marine Conservation Area","131.40000000","-7.22100000","Province Marine Conservation Area","Keputusan Bupati Maluku Tenggara Barat nomor: 523-246 Tahun 2016","Local","Marine","Designated","2016-03-31",783806.00,0.00,"Drafted","","","Maluku","","",,"EKKP3K","","","","Point only","Category 1","False","","","False"
"Indonesia","1015700","Halmahera Selatan Conservation Area (Widi Island)","128.51000000","-0.60000000","Province Marine Conservation Area","Keputusan Gubernur Maluku Utara Nomor 251/KPTS/MU/2015","Provincial","Marine","Designated","2015-12-16",7690.00,0.00,"Unknown","","Unknown","","","",,"EKKP3K","Unknown","","","Point only","Category 1","False","","","False"
"Indonesia","1015600","Liang and Ngali Island Marine Conservation Area","117.68000000","-8.52000000","Province Marine Conservation Area","KEPGUB NTB Nomor 523 - 640 Tahun 2018 tanggal 3 Agustus 2018","Local","Marine","Designated","2018-08-03",33461.00,0.00,"Yes","","Unknown","Nusa Tenggara Barat","Yes","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015500","Taman Pesisir Penyu Lunyuk","117.10000000","-9.09500000","District Marine Conservation Area","Keputusan Bupati Sumbawa Nomor 1212 Tahun 2014","Local","Marine","Designated","2014-12-13",72415.29,0.00,"Unknown","Unknown","Unknown","Nusa Tenggara Barat","","",0.00,"","Unknown","","","Point only","Category 1","False","","","False"
"Indonesia","1015300","Jeen Womon","132.86000000","-0.40900000","Province Marine Conservation Area","MMAF Decree No. 53/KEPMEN-KP/2017","Provincial","Marine","Designated","2017-01-01",32250.86,32250.86,"Yes","Unknown","Unknown","West papua","Yes","Unknown",,"EKKP3K","Strengthened","MMAF and MoF","","Yes","Category 1","False","idnmpa","","False"
"Indonesia","1015200","Nunukan Marine Conservation Area","117.38000000","3.91300000","Province Marine Conservation Area","SK Bupati No No.44 tahun 2007","Provincial","Marine-Terrestrial","Designated","2007-02-02",200.00,0.00,"Unknown","Unknown","","East Kalimantan","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015100","Sidoarjo Small Island District Marine Conservation Area","112.88349152","-7.57313558","District Marine Conservation Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Local","Marine","Designated","2018-10-10",72.32,0.00,"Yes","Unknown","Unknown","East Java","Yes","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015000","Teluk Kiluan Marine Recreation Park ","105.13000000","-5.79100000","Province Marine Conservation Area","KEPBUP Tanggamus No: B.399/32/11/2014","Provincial","Marine","Designated","2014-11-11",76214.33,0.00,"Yes","Unknown","Unknown","Lampung","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1014900","Kawasan Konservasi Karang Sugali","109.43287230","-6.76459054","Province Marine Protected Area","PERDA PROVINSI JAWA TENGAH NOMOR 13 TAHUN 2018","Provincial","Marine","Proposed","2018-01-12",1083.89,1083.89,"No","Unknown","No","Jawa Tengah","No","",,"EVIKA","Unrated","MMAF","","Yes","Category 1","True","IDNMPA","","False"
"Indonesia","1014800","Minahasa Utara Marine Conservation Area","124.97000000","1.46500000","District Marine Conservation Area","KEPGUB SULUT Nomor 407 Tahun 2018 tanggal 15 Oktober 2018","Local","Marine","Unknown","2018-10-15",26524.87,0.00,"Unknown","","Unknown","North Sulawesi","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1014700","Barru (Pulau Pannitiang Coastal and Small Island)  Marine Conservasion Area","119.76000000","-4.56200000","Province Marine Conservation Area","KEPGUB SULSEL 2944/XI/2018 tanggal 8 November 2018","Provincial","Marine","Designated","2018-11-08",605.94,0.00,"Unknown","Unknown","Unknown","South Sulawesi","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1014600","South East Sulawesi (Kota Kendari, Kabupaten Konawe, dan Kab. Konawe Selatan) District marine COnservation Area","122.55000000","-4.01100000","Province Marine Conservation Area","KEPGUB SULTRA 98 Tahun 2016","Provincial","Marine","Designated","2014-06-18",21786.14,0.00,"Drafted","Unknown","Unknown","Southeast Sulawesi","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1014500","Kawasan Konservasi Pesisir Dan Pulau-Pulau Kecil Donggala, Buol, Tolitoli, Dan Perairan Sekitarnya Di Provinsi Sulawesi Tengah","120.60741000","1.07172876","Province Marine Conservation Area","KEPMEN KP NOMOR 50/KEPMEN-KP/2019","Provincial","Marine","Designated","2019-01-12",60042.72,60042.72,"Yes","Unknown","No","Sulawesi Tengah","Yes","Part",,"EVIKA","Strengthened","MMAF","","Yes","Category 2","True","IDNMPA","","True"
"Indonesia","1014400","Kawasan Konservasi Bangka Selatan","106.92243820","-2.87532361","Province Marine Conservation Area","PERDA PROVINSI KEPULAUAN BANGKA BELITUNG NOMOR 3 TAHUN 2020","Provincial","Marine","Proposed","2020-01-12",92511.90,92511.90,"No","Unknown","No","Kepulauan Bangka Belitung","No","",,"","Unrated","EVIKA","","Yes","Category 1","False","","","True"
"Indonesia","1014300","Kawasan Konservasi Perairan Belitung Di Provinsi Kepulauan Bangka Belitung","107.44050950","-2.98059076","Province Marine Protected Area","KEPMEN KP NOMOR 94/KEPMEN-KP/2020","Provincial","Marine","Designated","2020-01-12",391820.23,391820.23,"Yes","Unknown","No","Kepulauan Bangka Belitung","Yes","Part",,"EVIKA","Strengthened","MMAF","","Yes","Category 2","False","IDNMPA","","True"
"Indonesia","1014200","Bantul Coastal and Marine Conservation Area","110.25867800","-8.00235000","Province Marine Conservation Area","Nomor 284 Tahun 2014","Provincial","Marine","Designated","2014-04-28",182.00,0.00,"Unknown","Unknown","","DI Yogyakarta","Unknown","Unknown",,"","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1014100","Kota Bitung Coast and Small Island Marine Conservation Area","125.24300000","1.45100000","Province Marine Conservation Area","SK WALIKOTA Bitung Nomor 188.45/HKM/SK/121/2014","Provincial","Marine","Unknown","2014-01-01",9647.00,0.00,"Unknown","Unknown","Unknown","North Sulawesi","Unknown","Unknown",,"","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1013900","KKP-01 Melaya Jembrana","114.47749940","-8.27755142","Province Marine Protected Area","PERDA PROVINSI BALI NOMOR 2 TAHUN 2023","Local","Marine","Proposed","2023-01-12",1168.12,1168.12,"Unknown","Unknown","Unknown","Bali","No","",,"EVIKA","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1013800","Kawasan Konservasi Di Perairan Di Wilayah Pulau Panjang Provinsi Jawa Tengah","110.63323560","-6.57998246","Province Marine Conservation Area","KEPMEN KP NOMOR 77 TAHUN 2022","Provincial","Marine","Designated","2022-01-12",494.25,494.25,"Yes","Unknown","No","Jawa Tengah","Yes","Part",,"EVIKA","Strengthened","MMAF","","Yes","Category 1","False","IDNMPA","","True"
